Orthogroup	WB_id	WB_alias	seqname	N2	QX1410	NIC58
OG0001653	WBGene00006278	str-252	C06B3.9	C06B3.9.1	QX1410.123	NIC58.6814, NIC58.6815, NIC58.6817
OG0001654	WBGene00044114, WBGene00044115, WBGene00044116	srxa-11, srxa-12, srxa-13	C06B3.12, C06B3.13, C06B3.14	C06B3.12.1, C06B3.13.1, C06B3.14.1	QX1410.125	NIC58.6896
OG0001655	WBGene00001062, WBGene00022726	dpr-1, nhr-249	R10D12.2, ZK381.3	R10D12.2.1, ZK381.3.1	QX1410.130	NIC58.11807, NIC58.6892
OG0001656	WBGene00022399	Y97E10AR.4	Y97E10AR.4	Y97E10AR.4.2	QX1410.161, QX1410.162	NIC58.6863, NIC58.6864
OG0001657	NA	NA	NA	NA	QX1410.205, QX1410.209, QX1410.213	NIC58.6902, NIC58.6910
OG0001658	NA	NA	NA	NA	QX1410.291, QX1410.292, QX1410.294, QX1410.296, QX1410.297	NA
OG0001659	WBGene00018698	vha-18	F52E1.10	F52E1.10.1	QX1410.307	NIC58.7000, NIC58.7001, NIC58.7008
OG0001660	WBGene00020718, WBGene00020719	mrps-2, natc-1	T23B12.3, T23B12.4	T23B12.3.1, T23B12.4.1	QX1410.316, QX1410.317	NIC58.7015
OG0001661	WBGene00018294	atg-18	F41E6.13	F41E6.13a.1	QX1410.366, QX1410.368, QX1410.369	NIC58.7056
OG0001662	WBGene00015227, WBGene00015224	ddn-1, B0507.7	B0507.10, B0507.7	B0507.10.1, B0507.7.1	QX1410.407, QX1410.409, QX1410.411	NA
OG0001663	NA	NA	NA	NA	QX1410.414, QX1410.415, QX1410.416	NIC58.7089, NIC58.7090
OG0001664	WBGene00006006	srx-115	B0507.11	B0507.11.1	QX1410.1466, QX1410.433	NIC58.6633, NIC58.7088
OG0001665	WBGene00017633	F20D6.1	F20D6.1	F20D6.1.1	QX1410.457, QX1410.780, QX1410.782	NIC58.6933
OG0001666	WBGene00015339, WBGene00015340	C02E7.6, C02E7.7	C02E7.6, C02E7.7	C02E7.6.1, C02E7.7.1	QX1410.596	NIC58.6386, NIC58.6387
OG0001667	WBGene00018218	F40A3.3	F40A3.3	F40A3.3c.1	QX1410.610	NIC58.6371, NIC58.6375, NIC58.6377
OG0001668	WBGene00021625, WBGene00021627	Y47D7A.13, Y47D7A.15	Y47D7A.13, Y47D7A.15	Y47D7A.13.1, Y47D7A.15.1	QX1410.656, QX1410.666	NIC58.6327
OG0001669	WBGene00010304	clpf-1	F59A2.4	F59A2.4a.1	QX1410.13434, QX1410.673	NIC58.15548, NIC58.16966
OG0001670	WBGene00000185, WBGene00000168	arg-1, apx-1	F31A9.3, K08D9.3	F31A9.3.1, K08D9.3a.1	QX1410.714	NIC58.19593, NIC58.6310
OG0001671	NA	NA	NA	NA	QX1410.1624, QX1410.1632, QX1410.762, QX1410.889	NIC58.6599
OG0001672	WBGene00019647	K11D12.7	K11D12.7	K11D12.7.1	QX1410.2049, QX1410.2050, QX1410.789	NIC58.7901
OG0001673	NA	NA	NA	NA	QX1410.1360, QX1410.1361, QX1410.1759, QX1410.1760, QX1410.832	NA
OG0001674	WBGene00016858, WBGene00008308	C50H11.13, C54E10.3	C50H11.13, C54E10.3	C50H11.13.1, C54E10.3.1	QX1410.847	NIC58.10449, NIC58.6558
OG0001675	NA	NA	NA	NA	QX1410.871, QX1410.878, QX1410.879, QX1410.880, QX1410.882	NA
OG0001676	WBGene00010817, WBGene00010819	M01G12.2, M01G12.5	M01G12.2, M01G12.5	M01G12.2.1, M01G12.5.1	QX1410.937	NIC58.7802, NIC58.7803
OG0001677	WBGene00019961, WBGene00019963	R08E5.1, R08E5.3	R08E5.1, R08E5.3	R08E5.1a.1, R08E5.3.1	QX1410.961, QX1410.963	NIC58.7507
OG0001678	WBGene00019094, WBGene00019096, WBGene00019962	F59A7.7, cysl-4, cysl-3	F59A7.7, F59A7.9, R08E5.2	F59A7.7.1, F59A7.9.1, R08E5.2.1	QX1410.964	NIC58.7506
OG0001679	WBGene00005421	srh-211	D1065.5	D1065.5a.1	QX1410.1011	NIC58.7626, NIC58.7629, NIC58.7630
OG0001680	NA	NA	NA	NA	QX1410.1038, QX1410.1039, QX1410.1041, QX1410.1043, QX1410.1046	NA
OG0001681	NA	NA	NA	NA	QX1410.1098, QX1410.1854, QX1410.1855	NIC58.7179, NIC58.7180
OG0001682	WBGene00015898	sre-9	C17E7.3	C17E7.3a.1	QX1410.1176, QX1410.1750	NIC58.7133, NIC58.7534
OG0001683	WBGene00006142, WBGene00006141	str-83, str-82	B0213.7, B0213.8	B0213.7.1, B0213.8.1	QX1410.1228, QX1410.1231	NIC58.7598
OG0001684	WBGene00011321	fil-1	T01C3.4	T01C3.4.1	QX1410.1241, QX1410.1748, QX1410.3646	NIC58.9377
OG0001685	WBGene00000022	abt-4	Y39D8C.1	Y39D8C.1.1	QX1410.1243	NIC58.7364, NIC58.7366, NIC58.7551
OG0001686	NA	NA	NA	NA	QX1410.1326	NIC58.7219, NIC58.7525, NIC58.9607, NIC58.9619
OG0001687	WBGene00021678	Y48G1C.5	Y48G1C.5	Y48G1C.5.1	QX1410.12160, QX1410.12161, QX1410.12162, QX1410.1370	NA
OG0001688	WBGene00021072, WBGene00000785	W07B8.4, cpr-5	W07B8.4, W07B8.5	W07B8.4a.1, W07B8.5.1	QX1410.1401	NIC58.7331, NIC58.7337
OG0001689	WBGene00010741	lgc-49	K10D6.1	K10D6.1.1	QX1410.1419, QX1410.1420, QX1410.2557	NIC58.8372
OG0001690	WBGene00010994, WBGene00021981	lgc-25, lgc-26	R03E1.3, Y58G8A.1	R03E1.3.1, Y58G8A.1.1	QX1410.1425	NIC58.17077, NIC58.7354
OG0001691	NA	NA	NA	NA	QX1410.1433	NIC58.7228, NIC58.7229, NIC58.7230, NIC58.7233
OG0001692	WBGene00016279, WBGene00044602	C31B8.1, C31B8.16	C31B8.1, C31B8.16	C31B8.1.1, C31B8.16.1	QX1410.1476	NIC58.7217, NIC58.7221
OG0001693	WBGene00269432, WBGene00022522	ZC132.11, ZC132.3	ZC132.11, ZC132.3	ZC132.11.1, ZC132.3.1	QX1410.1646	NIC58.6552, NIC58.6553
OG0001694	WBGene00020155, WBGene00020156	T02B11.3, T02B11.4	T02B11.3, T02B11.4	T02B11.3a.1, T02B11.4.1	QX1410.1660	NIC58.7162, NIC58.7300
OG0001695	WBGene00003696, WBGene00020152	nhr-106, nhr-211	T01G6.4, T01G6.5	T01G6.4.1, T01G6.5.1	QX1410.1662	NIC58.6474, NIC58.6475
OG0001696	WBGene00003720	nhr-130	T01G6.8	T01G6.8.1	QX1410.1669, QX1410.1670	NIC58.6470, NIC58.6471
OG0001697	WBGene00005705	sru-42	C55A1.8	C55A1.8.1	QX1410.1687	NIC58.7688, NIC58.7689, NIC58.9741
OG0001698	WBGene00021004, WBGene00021739	sftb-2, Y50D4A.5	W03F9.10, Y50D4A.5	W03F9.10.1, Y50D4A.5.1	QX1410.1721	NIC58.4148, NIC58.7285
OG0001699	WBGene00050968	R11G10.4	R11G10.4	R11G10.4.1	QX1410.13106, QX1410.1725, QX1410.1881	NIC58.6830
OG0001700	WBGene00005836, WBGene00005837	srw-89, srw-90	K09D9.13, Y46H3C.3	K09D9.13.1, Y46H3C.3.1	QX1410.1774, QX1410.1779	NIC58.6606
OG0001701	WBGene00011520, WBGene00003692	nhr-213, nhr-102	T06C12.13, T06C12.6	T06C12.13a.1, T06C12.6.1	QX1410.1837, QX1410.4382, QX1410.4383	NA
OG0001702	WBGene00007368, WBGene00018501, WBGene00021565	C06B8.2, F46F5.10, Y45G12C.1	C06B8.2, F46F5.10, Y45G12C.1	C06B8.2c.1, F46F5.10.1, Y45G12C.1.1	QX1410.1852	NIC58.7175
OG0001703	WBGene00005096, WBGene00005097, WBGene00005095, WBGene00005098	srd-18, srd-19, srd-17, srd-20	F53F1.10, F53F1.11, Y2H9A.2, Y38A10A.1	F53F1.10.1, F53F1.11.1, Y2H9A.2.1, Y38A10A.1.1	QX1410.1928	NA
OG0001704	WBGene00007083, WBGene00013054, WBGene00013566	AH10.2, Y50E8A.11, Y75B12A.2	AH10.2, Y50E8A.11, Y75B12A.2	AH10.2.1, Y50E8A.11.1, Y75B12A.2.1	QX1410.1933, QX1410.2154	NA
OG0001705	WBGene00005242, WBGene00005243	srh-17, srh-18	C47E8.2, C50B6.5	C47E8.2.1, C50B6.5.1	QX1410.1959	NIC58.7960, NIC58.9427
OG0001706	WBGene00004795, WBGene00017468	sid-1, F14F9.5	C04F5.1, F14F9.5	C04F5.1.1, F14F9.5.1	QX1410.2025, QX1410.2026	NIC58.7880
OG0001707	WBGene00003573, WBGene00003574	ncx-8, ncx-9	C13D9.7, C13D9.8	C13D9.7.1, C13D9.8.1	QX1410.2066, QX1410.2067	NIC58.7145
OG0001708	WBGene00022405, WBGene00022406	srsx-6, srsx-7	Y97E10B.3, Y97E10B.4	Y97E10B.3.1, Y97E10B.4.1	QX1410.2073, QX1410.2074	NIC58.7140
OG0001709	WBGene00022404	srsx-5	Y97E10B.2	Y97E10B.2.1	QX1410.2075	NIC58.7138, NIC58.7139, NIC58.7248
OG0001710	WBGene00011003, WBGene00011004	R04B5.5, R04B5.6	R04B5.5, R04B5.6	R04B5.5.1, R04B5.6.1	QX1410.2100, QX1410.2102	NIC58.7111
OG0001711	WBGene00006222, WBGene00006225, WBGene00006224	str-178, str-181, str-180	R11D1.5, R11D1.6, T10H9.6	R11D1.5.1, R11D1.6.1, T10H9.6b.1	QX1410.2155	NIC58.6662
OG0001712	WBGene00003210	mel-28	C38D4.3	C38D4.3.1	QX1410.12991, QX1410.2305	NIC58.15115, NIC58.8736
OG0001713	WBGene00005592	srj-4	C27A7.7	C27A7.7.1	QX1410.2320, QX1410.2321	NIC58.8145, NIC58.8146
OG0001714	WBGene00007757, WBGene00012789, WBGene00012790	C27A7.6, Y43D4A.3, Y43D4A.4	C27A7.6, Y43D4A.3, Y43D4A.4	C27A7.6c.1, Y43D4A.3b.1, Y43D4A.4a.1	QX1410.2328	NIC58.8152
OG0001715	WBGene00008646	F10C2.5	F10C2.5	F10C2.5.1	QX1410.2354	NIC58.8173, NIC58.8313, NIC58.8314
OG0001716	WBGene00011261	nphp-4	R13H4.1	R13H4.1.1	QX1410.2444, QX1410.2447	NIC58.8214, NIC58.8216
OG0001717	WBGene00010192	F57B7.2	F57B7.2	F57B7.2b.1	QX1410.2490	NIC58.8305, NIC58.8308, NIC58.8309
OG0001718	WBGene00003535, WBGene00003536, WBGene00003537	nas-16, nas-17, nas-18	K03B8.1, K03B8.2, K03B8.3	K03B8.1.1, K03B8.2.1, K03B8.3.1	QX1410.2499	NIC58.8322
OG0001719	WBGene00005275, WBGene00005278	srh-52, srh-55	R08H2.7, T09F5.5	R08H2.7.1, T09F5.5.1	QX1410.2509, QX1410.2510	NIC58.8330
OG0001720	WBGene00006167, WBGene00006166	str-116, str-115	F07B10.2, F07B10.3	F07B10.2.1, F07B10.3.1	QX1410.2535, QX1410.2536	NIC58.8354
OG0001721	WBGene00008247, WBGene00008248, WBGene00008249	srsx-26, srsx-27, srsx-28	C51E3.1, C51E3.2, C51E3.3	C51E3.1.1, C51E3.2.1, C51E3.3.1	QX1410.2830	NIC58.8946
OG0001722	WBGene00016431, WBGene00010684	C35A11.4, K08F9.1	C35A11.4, K08F9.1	C35A11.4.2, K08F9.1a.1	QX1410.2933	NIC58.5742, NIC58.8705
OG0001723	WBGene00015765, WBGene00015987, WBGene00013175, WBGene00022589	C14C11.1, C18G1.9, Y53F4B.36, ZC317.6	C14C11.1, C18G1.9, Y53F4B.36, ZC317.6	C14C11.1.1, C18G1.9.1, Y53F4B.36.1, ZC317.6.1	QX1410.2982	NA
OG0001724	WBGene00002637, WBGene00000482	let-418, chd-3	F26F12.7, T14G8.1	F26F12.7.1, T14G8.1.1	QX1410.3014	NIC58.18838, NIC58.8773
OG0001725	WBGene00001581, WBGene00019017	gfi-1, F57F4.4	F57F4.3, F57F4.4	F57F4.3.1, F57F4.4.1	QX1410.3108, QX1410.4040	NIC58.8861
OG0001726	WBGene00015712, WBGene00020333	sre-11, sre-12	C12D5.11, T07H8.7	C12D5.11.1, T07H8.7.1	QX1410.3227	NIC58.8966, NIC58.8967
OG0001727	WBGene00003697	nhr-107	C33G8.11	C33G8.11.1	QX1410.3232, QX1410.4511	NIC58.8971, NIC58.8972
OG0001728	WBGene00271437, WBGene00017330	F10D2.16, sre-10	F10D2.16, F10D2.3	F10D2.16.1, F10D2.3.1	QX1410.3256, QX1410.3257	NIC58.8996
OG0001729	WBGene00017654	F21C10.4	F21C10.4	F21C10.4.1	QX1410.3372	NIC58.9098, NIC58.9100, NIC58.9101
OG0001730	WBGene00015057, WBGene00017487	gad-3, F15E6.6	B0222.9, F15E6.6	B0222.9.1, F15E6.6.1	QX1410.3387, QX1410.3388	NIC58.9109
OG0001731	WBGene00000003	aat-2	F07C3.7	F07C3.7.1	QX1410.3404, QX1410.4246	NIC58.9134, NIC58.9882
OG0001732	WBGene00006152	str-94	F07C3.8	F07C3.8.1	QX1410.3405	NIC58.9135, NIC58.9716, NIC58.9717
OG0001733	WBGene00005937, WBGene00005938	srx-46, srx-47	E02C12.2, E02C12.3	E02C12.2.1, E02C12.3.1	QX1410.3426	NIC58.9154, NIC58.9155
OG0001734	WBGene00011535, WBGene00011536	T06E4.8, T06E4.9	T06E4.8, T06E4.9	T06E4.8.1, T06E4.9.1	QX1410.3484	NIC58.9210, NIC58.9211
OG0001735	WBGene00008218	nasp-2	C50B6.2	C50B6.2.1	QX1410.3526	NIC58.15747, NIC58.15852, NIC58.583
OG0001736	WBGene00006110	str-45	T09F5.3	T09F5.3.1	QX1410.3609	NIC58.6600, NIC58.7586, NIC58.9335
OG0001737	WBGene00006098, WBGene00006074, WBGene00006073	str-32, str-6, str-5	T19H12.7, T23D5.10, T23D5.12	T19H12.7.1, T23D5.10.1, T23D5.12.1	QX1410.3612	NIC58.9341
OG0001738	WBGene00009802, WBGene00009803	F47B8.1, F47B8.2	F47B8.1, F47B8.2	F47B8.1.1, F47B8.2.1	QX1410.3790	NIC58.2014, NIC58.9505
OG0001739	NA	NA	NA	NA	QX1410.3835, QX1410.3850	NIC58.9627, NIC58.9628, NIC58.9629
OG0001740	WBGene00077450, WBGene00010599	K06B4.15, K06B4.4	K06B4.15, K06B4.4	K06B4.15.1, K06B4.4.1	QX1410.3867, QX1410.3868	NIC58.9604
OG0001741	WBGene00010432	H39E23.2	H39E23.2	H39E23.2.1	QX1410.3897, QX1410.3898	NIC58.9567, NIC58.9570
OG0001742	WBGene00010516	K02E11.7	K02E11.7	K02E11.7.1	QX1410.3923	NIC58.5472, NIC58.9546, NIC58.9548
OG0001743	NA	NA	NA	NA	QX1410.3937, QX1410.4118, QX1410.4120, QX1410.4121	NIC58.9729
OG0001744	NA	NA	NA	NA	QX1410.12815, QX1410.3941, QX1410.4200, QX1410.4201, QX1410.4203	NA
OG0001745	WBGene00008322, WBGene00008324, WBGene00008792	C55A1.4, C55A1.7, F14D7.5	C55A1.4, C55A1.7, F14D7.5	C55A1.4.1, C55A1.7.1, F14D7.5a.1	QX1410.3967	NIC58.9515
OG0001746	WBGene00005513, WBGene00005514	sri-1, sri-2	F36G9.8, F36G9.9	F36G9.8.1, F36G9.9.1	QX1410.3989	NIC58.10129, NIC58.9723
OG0001747	WBGene00235081, WBGene00013491	W06G6.21, Y70C5B.1	W06G6.21, Y70C5B.1	W06G6.21.1, Y70C5B.1.1	QX1410.4095	NIC58.9686, NIC58.9699
OG0001748	WBGene00011812	T16H12.2	T16H12.2	T16H12.2.1	QX1410.4147	NIC58.16490, NIC58.16865, NIC58.4
OG0001749	WBGene00018091, WBGene00012315	F36D4.6, immt-2	F36D4.6, W06H3.1	F36D4.6.1, W06H3.1.1	QX1410.4223	NIC58.9894, NIC58.9895
OG0001750	NA	NA	NA	NA	QX1410.11746, QX1410.4270, QX1410.4271	NIC58.10241, NIC58.10328
OG0001751	NA	NA	NA	NA	QX1410.4339, QX1410.4377, QX1410.4379, QX1410.4388, QX1410.4398	NA
OG0001752	WBGene00000412	cdr-1	F35E8.11	F35E8.11.1	QX1410.4406, QX1410.4407	NIC58.9804, NIC58.9805
OG0001753	NA	NA	NA	NA	QX1410.4427	NIC58.10056, NIC58.10066, NIC58.10068, NIC58.10083
OG0001754	NA	NA	NA	NA	QX1410.4439, QX1410.4440, QX1410.4441, QX1410.4442, QX1410.4443	NA
OG0001755	WBGene00007565, WBGene00012251, WBGene00012253	clec-48, clec-49, clec-50	C14A6.1, W04E12.6, W04E12.8	C14A6.1.1, W04E12.6.1, W04E12.8.1	QX1410.4582	NIC58.10374
OG0001756	WBGene00020630	T20F7.1	T20F7.1	T20F7.1.1	QX1410.4583	NIC58.10917, NIC58.16833, NIC58.17125
OG0001757	WBGene00013751, WBGene00013833	Y113G7A.14, ZC15.5	Y113G7A.14, ZC15.5	Y113G7A.14.1, ZC15.5.1	QX1410.4732, QX1410.4733	NIC58.10588
OG0001758	WBGene00013073, WBGene00013074	hmit-1.1, hmit-1.2	Y51A2D.4, Y51A2D.5	Y51A2D.4.1, Y51A2D.5.1	QX1410.4741, QX1410.4742	NIC58.10567
OG0001759	WBGene00013768	sld-5	Y113G7B.24	Y113G7B.24a.1	QX1410.4748	NIC58.10594, NIC58.10599, NIC58.10602
OG0001760	WBGene00013486, WBGene00013487, WBGene00013480	egas-1, egas-2, egas-3	Y69H2.11, Y69H2.12, Y69H2.2	Y69H2.11.1, Y69H2.12.1, Y69H2.2.1	QX1410.4788	NIC58.10560
OG0001761	WBGene00007834, WBGene00012321	srxa-7, srxa-6	C31A11.6, W07A8.5	C31A11.6.1, W07A8.5.1	QX1410.4834	NIC58.10095, NIC58.10696
OG0001762	NA	NA	NA	NA	QX1410.11654, QX1410.11655, QX1410.11882, QX1410.12086	NIC58.14195
OG0001763	WBGene00008812, WBGene00010072, WBGene00021007	F14F7.5, F54F12.1, W03F11.4	F14F7.5, F54F12.1, W03F11.4	F14F7.5a.1, F54F12.1.1, W03F11.4.2	QX1410.11690, QX1410.12765	NA
OG0001764	WBGene00022493	mrpl-45	Y119D3B.16	Y119D3B.16.1	QX1410.11701	NIC58.13808, NIC58.13813, NIC58.13815
OG0001765	WBGene00021436	Y39A3B.1	Y39A3B.1	Y39A3B.1.1	QX1410.11725, QX1410.11729, QX1410.11733	NIC58.14255
OG0001766	NA	NA	NA	NA	QX1410.11770	NIC58.11759, NIC58.14246, NIC58.7495, NIC58.9030
OG0001767	WBGene00018239, WBGene00185078	sec-20, F40G9.17	F40G9.1, F40G9.17	F40G9.1.1, F40G9.17.2	QX1410.11813, QX1410.11814	NIC58.13796
OG0001768	NA	NA	NA	NA	QX1410.11892, QX1410.11896, QX1410.11897, QX1410.12894, QX1410.12895	NA
OG0001769	WBGene00021818	Y53G8B.2	Y53G8B.2	Y53G8B.2.1	QX1410.12044, QX1410.12045	NIC58.14109, NIC58.14110
OG0001770	WBGene00003546	nas-28	F42A10.8	F42A10.8.1	QX1410.12128	NIC58.10989, NIC58.10990, NIC58.14818
OG0001771	WBGene00016730, WBGene00017902	C46H11.6, F28E10.4	C46H11.6, F28E10.4	C46H11.6.1, F28E10.4.2	QX1410.12231	NIC58.11656, NIC58.711
OG0001772	WBGene00015081	B0244.6	B0244.6	B0244.6.1	QX1410.12246, QX1410.12321, QX1410.12322	NIC58.14515
OG0001773	WBGene00015079, WBGene00015080	B0244.4, B0244.5	B0244.4, B0244.5	B0244.4b.1, B0244.5.1	QX1410.12250	NIC58.14509, NIC58.14510
OG0001774	WBGene00010353, WBGene00003216, WBGene00013380	memi-3, memi-1, memi-2	H02I12.5, Y17G9B.9, Y62E10A.14	H02I12.5.1, Y17G9B.9.1, Y62E10A.14.1	QX1410.12392	NIC58.14578
OG0001775	WBGene00000973	dhs-9	Y32H12A.3	Y32H12A.3.1	QX1410.12431	NIC58.14593, NIC58.14604, NIC58.14605
OG0001776	WBGene00006395	taf-11.3	F43D9.5	F43D9.5.1	QX1410.12505	NIC58.14682, NIC58.14687, NIC58.14748
OG0001777	WBGene00012863, WBGene00012864	Y45F3A.8, Y45F3A.9	Y45F3A.8, Y45F3A.9	Y45F3A.8.1, Y45F3A.9.1	QX1410.12521, QX1410.12522	NIC58.14699
OG0001778	WBGene00015098, WBGene00255594, WBGene00021667	snpc-3.1, Y48G1BL.8, snpc-3.2	B0273.3, Y48G1BL.8, Y48G1BM.1	B0273.3.1, Y48G1BL.8.1, Y48G1BM.1.1	QX1410.12655	NIC58.14844
OG0001779	WBGene00000671	col-96	Y41C4A.19	Y41C4A.19.1	QX1410.12717, QX1410.12719	NIC58.14895, NIC58.14897
OG0001780	WBGene00015337, WBGene00043097, WBGene00001792	gsto-2, C02D5.4, gst-44	C02D5.3, C02D5.4, F13A7.10	C02D5.3.1, C02D5.4.2, F13A7.10.1	QX1410.12871	NIC58.15019
OG0001781	WBGene00005171, WBGene00005169	srg-14, srg-11	F26B1.6, T04A8.2	F26B1.6.1, T04A8.2.1	QX1410.12954	NIC58.5433, NIC58.5687
OG0001782	WBGene00016444, WBGene00016445	C35D10.7, C35D10.8	C35D10.7, C35D10.8	C35D10.7a.1, C35D10.8.1	QX1410.13013, QX1410.13014	NIC58.15136
OG0001783	WBGene00016171, WBGene00016169	C27F2.10, C27F2.7	C27F2.10, C27F2.7	C27F2.10.1, C27F2.7.1	QX1410.13061, QX1410.13062	NIC58.15175
OG0001784	WBGene00015530, WBGene00016605, WBGene00016839	C06E4.1, C43E11.5, C50F2.5	C06E4.1, C43E11.5, C50F2.5	C06E4.1.1, C43E11.5.1, C50F2.5.1	QX1410.13200	NIC58.15251
OG0001785	WBGene00018150	epg-4	F37C12.2	F37C12.2.2	QX1410.13204	NIC58.15391, NIC58.5887, NIC58.5893
OG0001786	WBGene00007401, WBGene00016800	C07A9.5, C50C3.2	C07A9.5, C50C3.2	C07A9.5.1, C50C3.2.1	QX1410.13273	NIC58.15451, NIC58.15453
OG0001787	WBGene00016286, WBGene00012012	C31H1.1, T25B9.6	C31H1.1, T25B9.6	C31H1.1.1, T25B9.6a.1	QX1410.13295	NIC58.15470, NIC58.15757
OG0001788	WBGene00008288	C54C6.6	C54C6.6	C54C6.6.1	QX1410.13335	NIC58.15494, NIC58.15498, NIC58.15503
OG0001789	WBGene00045242, WBGene00044222	C05B5.11, T16G12.10	C05B5.11, T16G12.10	C05B5.11.1, T16G12.10.1	QX1410.13372	NIC58.16101, NIC58.16102
OG0001790	WBGene00022196	gpa-17	Y71H2B.7	Y71H2B.7.1	QX1410.13395	NIC58.15584, NIC58.15585, NIC58.15593
OG0001791	WBGene00022195	Y71H2B.5	Y71H2B.5	Y71H2B.5.1	QX1410.13397	NIC58.15580, NIC58.15582, NIC58.15589
OG0001792	WBGene00018121, WBGene00020468	F36H12.5, T13A10.1	F36H12.5, T13A10.1	F36H12.5.1, T13A10.1.1	QX1410.13415	NIC58.15154, NIC58.15564
OG0001793	WBGene00007771, WBGene00000549	C27C12.1, cls-2	C27C12.1, R107.6	C27C12.1.1, R107.6b.1	QX1410.13446	NIC58.15620, NIC58.15869
OG0001794	WBGene00011816, WBGene00022266	srt-55, srt-56	T16H12.8, Y73C8C.9	T16H12.8.1, Y73C8C.9.1	QX1410.13452	NIC58.15625, NIC58.15626
OG0001795	WBGene00011808	T16G12.7	T16G12.7	T16G12.7.1	QX1410.13471, QX1410.14535	NIC58.15639, NIC58.16096
OG0001796	WBGene00002104, WBGene00002105, WBGene00002106	ins-21, ins-22, ins-23	M04D8.1, M04D8.2, M04D8.3	M04D8.1.1, M04D8.2.1, M04D8.3.1	QX1410.13485	NIC58.15646
OG0001797	WBGene00007804, WBGene00018380, WBGene00019281, WBGene00013986	C29F3.3, decr-1.1, K01A2.6, ZK512.7	C29F3.3, F43C11.3, K01A2.6, ZK512.7	C29F3.3.1, F43C11.3.1, K01A2.6.1, ZK512.7.1	QX1410.13721	NA
OG0001798	WBGene00013846, WBGene00013849	ZC84.1, ZC84.6	ZC84.1, ZC84.6	ZC84.1.1, ZC84.6.1	QX1410.13738, QX1410.13739	NIC58.15855
OG0001799	WBGene00009572, WBGene00011712, WBGene00194725	F40D4.13, T11F9.10, T16H12.13	F40D4.13, T11F9.10, T16H12.13	F40D4.13.1, T11F9.10.1, T16H12.13.1	QX1410.13750	NIC58.16325
OG0001800	WBGene00015129	sdz-1	B0303.8	B0303.8.1	QX1410.13801, QX1410.13802	NIC58.16228, NIC58.16231
OG0001801	WBGene00001773, WBGene00001749, WBGene00001771	gst-25, gst-1, gst-23	F37F2.3, R107.7, T28A11.11	F37F2.3.1, R107.7.1, T28A11.11.1	QX1410.13861	NIC58.16151
OG0001802	NA	NA	NA	NA	QX1410.13909	NIC58.289, NIC58.5222, NIC58.5223, NIC58.6374
OG0001803	WBGene00016409	sumv-1	C34E10.8	C34E10.8.1	QX1410.14359	NIC58.16458, NIC58.19062, NIC58.19063
OG0001804	WBGene00002059, WBGene00002063	ife-1, ife-5	F53A2.6, Y57A10A.30	F53A2.6a.1, Y57A10A.30.1	QX1410.14398	NIC58.15319, NIC58.3773
OG0001805	WBGene00010679, WBGene00044205	K08F4.5, T13F3.8	K08F4.5, T13F3.8	K08F4.5.1, T13F3.8.1	QX1410.14444	NIC58.2025, NIC58.8039
OG0001806	WBGene00017694	F22B7.3	F22B7.3	F22B7.3.1	QX1410.14525, QX1410.14526, QX1410.14528	NIC58.16103
OG0001807	NA	NA	NA	NA	NA	NIC58.16510, NIC58.16513, NIC58.16688, NIC58.16699, NIC58.16700
OG0001808	NA	NA	NA	NA	NA	NIC58.16584, NIC58.16649, NIC58.16731, NIC58.16792, NIC58.16863
OG0001809	NA	NA	NA	NA	NA	NIC58.13121, NIC58.13122, NIC58.13135, NIC58.16595, NIC58.19055
OG0001810	NA	NA	NA	NA	NA	NIC58.11150, NIC58.11151, NIC58.16600, NIC58.19768, NIC58.5002
OG0001811	NA	NA	NA	NA	NA	NIC58.16607, NIC58.16620, NIC58.16626, NIC58.16812, NIC58.5752
OG0001812	NA	NA	NA	NA	NA	NIC58.16616, NIC58.16808, NIC58.19710, NIC58.19739, NIC58.5753
OG0001813	NA	NA	NA	NA	NA	NIC58.11124, NIC58.16676, NIC58.19755, NIC58.19758, NIC58.20046
OG0001814	NA	NA	NA	NA	NA	NIC58.14129, NIC58.16709, NIC58.16874, NIC58.16876, NIC58.16877
OG0001815	NA	NA	NA	NA	NA	NIC58.14108, NIC58.16755, NIC58.16756, NIC58.16813, NIC58.19704
OG0001816	WBGene00006547	tbx-11	F40H6.4	F40H6.4.1	NA	NIC58.12976, NIC58.14391, NIC58.14445, NIC58.16849
OG0001817	NA	NA	NA	NA	NA	NIC58.16859, NIC58.16934, NIC58.16936, NIC58.17004, NIC58.19785
OG0001818	NA	NA	NA	NA	NA	NIC58.14130, NIC58.16873, NIC58.19247, NIC58.19760, NIC58.3907
OG0001819	NA	NA	NA	NA	NA	NIC58.13053, NIC58.17022, NIC58.17023, NIC58.19501, NIC58.19503
OG0001820	NA	NA	NA	NA	NA	NIC58.11256, NIC58.11257, NIC58.11258, NIC58.17068, NIC58.19237
OG0001821	WBGene00008747, WBGene00009025, WBGene00013799	phf-31, phf-34, athp-3	F13E6.3, F21G4.4, Y116A8C.22	F13E6.3a.1, F21G4.4.1, Y116A8C.22.1	NA	NIC58.17432, NIC58.3591
OG0001822	NA	NA	NA	NA	NA	NIC58.18282, NIC58.18742, NIC58.18743, NIC58.18744, NIC58.18745
OG0001823	NA	NA	NA	NA	NA	NIC58.18900, NIC58.18901, NIC58.18902, NIC58.18903, NIC58.18904
